user_id,visit_id,date,transactions,revenue,source,source_type
4984366501121503466,1481734401,20161214,1,56.0,(direct),Direct
3296487568107567712,1481767892,20161214,1,26.98,(direct),Direct
3782396217900147405,1481770468,20161214,1,33.58,(direct),Direct
9219439174856712797,1497483714,20170614,1,17.98,(direct),Direct
8149619824926013783,1497456886,20170614,1,12.98,(direct),Direct
0339607919256111349,1497464857,20170614,1,742.08,(direct),Direct
6745703990987927625,1497473372,20170614,1,252.27,(direct),Direct
1978060402738405098,1497476142,20170614,1,61.59,(direct),Direct
0780253600713375371,1497482084,20170614,1,250.78,(direct),Direct
9620923631569343304,1481637908,20161213,1,5.5,(direct),Direct
5025697082538917996,1481651918,20161213,1,18.99,(direct),Direct
9976366744327936965,1481657849,20161213,1,104.78,(direct),Direct
3444642706013409818,1481693637,20161213,1,999.5,(direct),Direct
4267209767907289538,1481633911,20161213,1,18.99,(direct),Direct
912047147025556789,1481683518,20161213,1,18.99,(direct),Direct
1255447654498305534,1481659115,20161213,1,15.98,(direct),Direct
9079614112770240084,1481646725,20161213,1,179.75,(direct),Direct
9771437221362506189,1481694509,20161213,1,37.99,(direct),Direct
5688849744235446525,1481646438,20161213,1,107.94,(direct),Direct
1285137808569536764,1487950034,20170224,1,7.19,(direct),Direct
1033431819370564673,1487994557,20170224,1,231.44,(direct),Direct
9509621049646377285,1487973413,20170224,1,52.77,(direct),Direct
4329333920504195521,1487955968,20170224,1,196.17,(direct),Direct
1441816679922276355,1487974393,20170224,1,29.96,(direct),Direct
9089132392240687728,1487983484,20170224,1,1219.35,(direct),Direct
8239950188993198154,1497238953,20170611,1,24.27,(direct),Direct
3714026769749334069,1497172942,20170611,1,45.97,(direct),Direct
0554420125524525961,1497227566,20170611,4,31.35,(direct),Direct
6311424614094967654,1483909843,20170108,1,10.98,(direct),Direct
6036371568698072634,1488090289,20170225,1,18.99,(direct),Direct
1560871818070295812,1488062443,20170225,1,10.99,(direct),Direct
1885392946834138494,1494616590,20170512,1,161.75,(direct),Direct
1194645338506308474,1494619899,20170512,1,339.6,(direct),Direct
9982700667464896535,1494607165,20170512,1,33.59,(direct),Direct
2252031469260108936,1494601591,20170512,1,33.59,(direct),Direct
8049218142229066555,1494591162,20170512,1,33.59,(direct),Direct
6023796381284015578,1494600519,20170512,1,33.59,(direct),Direct
3440377768269728737,1494597737,20170512,1,3.98,(direct),Direct
5524449021244950311,1494578258,20170512,1,33.59,(direct),Direct
2678202602250260805,1494587162,20170512,1,13.99,(direct),Direct
4053729275950379466,1494608463,20170512,1,109.6,(direct),Direct
8184421504690024643,1494601105,20170512,1,33.59,(direct),Direct
9054221017020554281,1494602529,20170512,1,33.59,(direct),Direct
4167885024965256381,1494647525,20170512,1,16.99,(direct),Direct
7545946848283492417,1494610324,20170512,1,33.59,(direct),Direct
3607433621534632946,1494611837,20170512,1,144.5,(direct),Direct
62301548425288744,1494617581,20170512,1,210.68,(direct),Direct
6448832262240591897,1494612092,20170512,1,33.59,(direct),Direct
0753451278230201437,1494619060,20170512,1,33.59,(direct),Direct
7012131705583674177,1501366318,20170729,1,245.99,(direct),Direct
7589140490994660050,1491543013,20170406,1,61.59,(direct),Direct
7018780780971706346,1491541750,20170406,1,15.19,(direct),Direct
279519454681566557,1491492444,20170406,1,186.89,(direct),Direct
5844499585021930653,1491496287,20170406,1,65.96,(direct),Direct
